"ID_FAMILIA";"NU_CODIGO_FAMILIA_CBO";"TE_COND_GERAL_EXERC";"TE_DESCRICAO_SUMARIA";"TE_FORMACAO_EXPER";"TE_GLOSSARIO";"TE_NOTAS";"NM_TITULO_FAMILIA"
1025;"3135";"Esses trabalhadores atuam em áreas ligadas à fabricação de material eletrônico e de aparelhos e equipamentos de comunicação, campos especializados, como defesa, segurança pública, indústria aeroespacial, comunica";"Aplicam a tecnologia da fotônica utilizando princípios de física, química e matemática e sistemas básicos de óptica, identificando fontes de luz, detectores e ou sensores de luz; projetam sistemas em fotônica; desenvolvem protótipos; instalam produtos ou sistemas fotônicos; realizam medições e manutenções em equipamentos fotônicos. Trabalham em conformidade com normas e padrões técnicos, de segurança, de gestão da qualidade e do meio ambiente. Documentam atividades e procedimentos.";"Os trabalhadores dessa família ocupacional são técnicos profissionalizantes de várias áreas que se especializam em fotônica. Na fotônica, o conhecimento da aplicação é crítico. Portanto, ela pode ser uma áre";"Fotônica: é definida como a geração, manipulação, transporte, detecção e uso de informação e energia luminosa que tem como unidade básica o fóton (National Photonics Skill Standard for Technicians, 1995);. A";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio resolução normativa nº 24, de 18 de fevereiro de 1970 - autoriza os conselho";"Técnicos em fotônica"
1032;"3141";"Os profissionais dessa família ocupacional podem exercer suas atividades em empresas do ramo de fabricação de produtos de metal, de artigos de borracha e plástico, de máquinas, equipamentos, aparelhos e materiais elétricos e de equ";"Elaboram projetos de sistemas eletromecânicos; montam e instalam máquinas e equipamentos; planejam e realizam manutenção; desenvolvem processos de fabricação e montagem; elaboram documentação; realizam compras e vendas técnicas e cumprem normas e procedimentos de segurança no trabalho e preservação ambiental.";"Essas ocupações são exercidas por pessoas com escolaridade de ensino médio, acrescida de cursos de formação profissional de nível técnico (cursos técnicos); nas áreas correlatas. O desempenho pleno das funçõ";"";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio.";"Técnicos mecânicos na fabricação e montagem de máquinas, sistemas e instrumentos"
1039;"3142";"Atuam em empresas de fabricação de máquinas, equipamentos e produtos metalúrgicos, nas áreas de desenvolvimento, fabricação e manutenção de ferramentas e dispositivos de fabricação mecânica. São empregad";"Pesquisam o mercado, desenvolvem e realizam manutenção de ferramentas e dispositivos para fabricação mecânica. Providenciam recursos técnicos para a fabricação do produto final para o qual foram desenvolvidas as ferramentas. Planejam a manutenção preventiva e corretiva de equipamentos e ferramentas, bem como propõem melhoria contínua de processos de fabricação, segundo critérios de qualidade e segurança no trabalho. Podem prestar assistência técnica.";"Para o acesso ao trabalho nessas ocupações requer-se curso técnico em mecânica. É desejável que o técnico tenha cursado também  qualificação profissional básica, com carga horária superior a quatrocentas hor";"Tryout: teste ou prova de um método, processo ou peça em uma máquina para verificar se funciona adequadamente";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio ";"Técnicos mecânicos (ferramentas);"
1046;"3143";"Trabalham principalmente em empresas de fabricação e manutenção  automotiva, aeronáutica e naval, bem como em empresas de transporte sobre rodas, marítimo e aéreo. São empregados assalariados, com carteira assinada, organiz";"Realizam ensaios e testes e montam componentes na fabricação e manutenção veicular automobilística, naval e aeronáutica, de acordo com normas de qualidade e de segurança do trabalho. Prestam assessoria a equipes internas e externas.";"Para o ingresso nas ocupações requer-se curso de mecânica veicular, em nível médio profissionalizante, ou que estejam cursando o ensino superior na área de engenharia mecânica, naval ou aeronáutica. O pleno exercício da";"";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio ";"Técnicos em mecânica veicular"
1053;"3144";"Trabalham em empresas de extração de petróleo e serviços correlatos; de fabricação de produtos têxteis, metalurgia básica, fabricação de máquinas e equipamentos, fabricação e montagem de veículos aut";"Planejam a manutenção de máquinas, sistemas e instrumentos; supervisionam processos de manutenção; mantém equipamentos, instrumentos, máquinas e sistemas em condições plenas de funcionamento e calibram instrumentos e equipamentos. Elaboram procedimentos técnicos e administrativos; propõem melhorias em máquinas, instrumentos e sistemas; aplicam técnicas de segurança e normas ambientais; prestam assessoria técnica em manutenção e realizam testes e ensaios.";"O exercício profissional dessas ocupações requer curso técnico de nível médio, com ênfase em manutenção de máquinas e instrumentação. O pleno exercício das atividades ocorre após o período de um ";"";"";"Técnicos mecânicos na manutenção de máquinas, sistemas e instrumentos"
1060;"3146";"Atuam principalmente nas indústrias de equipamentos de transporte e automobilística, indústrias de produtos metálicos e na construção civil.  Podem trabalhar por conta própria, como autônomos ou como assalariados, com regis";"Planejam e supervisionam a execução das atividades de caldeiraria, soldagem e estruturas metálicas, de acordo com a programação de produção. Qualificam procedimentos de soldagem e inspecionam processos de fabricação de acordo com normas de qualidade, preservação do meio ambiente e segurança do trabalho.";"Para o exercício das ocupações é requerida formação técnica profissionalizante de nível médio em metalurgia ou uma das especializações. O exercício pleno das atividades demanda, em média, de um a dois an";"";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio ";"Técnicos em metalurgia (estruturas metálicas);"
1067;"3147";"Esses trabalhadores atuam em áreas ligadas à metalurgia básica e fabricação de produtos de metal - exclusive máquina e equipamentos. São empregados com carteira assinada, trabalham em equipes de engenheiros, técnicos, super";"Elaboram padrões técnicos e operacionais de produção siderúrgica, promovem meios para o desenvolvimento profissional de equipes de trabalho; desenvolvem inovações em produtos e tecnologias siderúrgicas, programam e monitoram processos de fabricação de produtos siderúrgicos, elaboram relatórios técnicos de siderurgia; atuam no controle de qualidade e prestam assistência técnica de produtos; calculam variáveis de controle da produção siderúrgica.";"Para ingressar nessas ocupações requer-se curso técnico de qualificação profissional equivalente ao nível médio completo e experiência anterior de quatro a cinco anos para o técnico de fundição em siderurgia e t";"";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio resolução normativa nº 24, de 18 de fevereiro de 1970 - autoriza os conselho";"Técnicos em siderurgia"
1074;"3161";"Atuam em indústrias de extração de minerais metálicos e outros minerais, de extração de petróleo e gás natural, indústrias de construção e de captação, purificação e distribuição de á";"Auxiliam geólogos e engenheiros nos trabalhos de prospecção de recursos minerais. Coletam amostras e processam dados geológicos, geofísicos e geoquímicos. Preparam amostras minerais e monitoram processos de análises laboratoriais. Identificam áreas de potencial mineral por meio de levantamentos topográficos, geológicos e cartográficos. Controlam a qualidade de frente de lavra e participam de estudos de impacto ambiental.";"O exercício pleno das ocupações dos técnicos em geologia ocorre após conclusão do curso técnico de nível médio específico em geologia e comprovada experiência de um a dois anos na área. É desejável q";"";"";"Técnicos em geologia"
1081;"3163";"Atuam em indústrias extrativas de carvão mineral,  petróleo, gás natural, minerais metálicos e outros minerais e, também, em indústrias de captação, purificação e distribuição de água. Podem trabalha";"Lavram jazidas minerais; supervisionam processos de beneficiamento de minério. Participam da prospecção e pesquisa de minerais. Coletam amostras de minerais; processam dados de prospecção, pesquisa e lavra; participam do planejamento de atividades de mineração. Controlam a movimentação da produção final de minério e analisam a qualidade e quantidade do produto mineral. Fiscalizam equipes de trabalho para cumprimento de normas de saúde e segurança e participam de projetos ambientais.";"O acesso a essas ocupações requer curso técnico de nível médio em mineração de áreas afins. É desejável, ainda, que se faça um curso de especialização de até duzentas horas-aula. O desempenho pleno d";"Itens de controle de minério: teor, fóssil, custo e mina Câmaras de realce: equilibram o espaço vazio de câmaras que foram lavra Minas: céu aberto e subterrâneas E.P.I.: equipamento de proteção individual. frentes de la";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio resolução normativa nº 24, de 18 de fevereiro de 1970 - autoriza os conselho";"Técnicos em mineração"
1088;"3171";"Trabalham em atividades de informática e conexas, presentes em todas as atividades econômicas. O programador de máquinas-ferramenta com controle numérico se faz presente na indústria. O programador de sistema de informação ";"Desenvolvem sistemas e aplicações, determinando interface gráfica, critérios ergonômicos de navegação, montagem da estrutura de banco de dados e codificação de programas; projetam, implantam e realizam manutenção de sistemas e aplicações; selecionam recursos de trabalho, tais como metodologias de desenvolvimento de sistemas, linguagem de programação e ferramentas de desenvolvimento. Planejam etapas e ações de trabalho.";"Para o exercício dessas ocupações requer-se ensino técnico de nível médio de informática ou superior incompleto em áreas como ciências exatas, informática, engenharia. A atualização profissional permanente u";"CNC: comando numérico computadorizado  Mídias interativas: CD-ROM, internet  Periféricos: escaner, impressora, kit multimídia, monitor, zip drive, modem, caixas de som, leitor de código de barras, mouse  Ferramentas de desenvolvimento:";"";"Técnicos de desenvolvimento de sistemas e aplicações"
1095;"3172";"Trabalham  em vários ramos de atividade econômica e concentram-se em empresas de informática e conexas, públicas e privadas, de intermediação financeira (bancos);, correio e telecomunicações e de ensino.  Os operadores de c";"Operam sistemas de computadores e microcomputadores, monitorando o  desempenho dos aplicativos, recursos de entrada e saúda de dados, recursos de armazenamento de dados, registros de erros, consumo da unidade central de processamento (cpu);, recursos de rede e disponibilidade dos aplicativos. Asseguram o funcionamento do hardware e do software; garantem a segurança das informações, por meio de cópias de segurança e armazenando-as em local prescrito, verificando acesso lógico de usuário e destruindo informações sigilosas descartadas. Atendem clientes e usuários, orientando-os  na utilização de hardware e software; inspecionam o ambiente físico para segurança no trabalho.";"Para operar plataformas de grande porte (mainframe);, e para o técnico de apoio ao usuário de informática (exclusive provedores de internet);, o requisito mínimo é o segundo grau completo. Em ambientes de rede e supercomputadores hå";"Recursos de rede: recursos de programas e equipamentos. Trata-se de um termo genérico para todo e qualquer programa e dispositivo físico de equipamento que pode ser compartilhado na rede para todos os usuários autorizados Recursos de entrada e";"";"Técnicos em operação e monitoração de computadores"
1102;"3180";"Trabalham em indústrias de construção, de fabricação de máquinas e equipamentos, de eletricidade, gás e água quente, de captação, purificação e distribuição de água e outras atividades empresaria";"Analisam solicitações de desenhos; interpretam documentos de apoio, tais como plantas, projetos, catálogos, croquis e normas. Observam características técnicas de desenhos; esboçam desenhos; definem formatos e escalas, sistemas de representação e prioridades de desenhos, conforme cronogramas. Desenham detalhes de projetos de desenhos. Enviam desenhos para revisão; realizam cópias de segurança e disponibilizam desenhos finais e/ou revisões para áreas afins. são classificados nessa epígrafe os desenhistas técnicos não especializados.";"Para o exercício dessa ocupação requer-se escolaridade de nível médio mais curso profissionalizante básico de duzentas a quatrocentas horas-aula. O exercício pleno das atividades dar-se-á após um a dois anos de experi";"---";"No domínio do desenho, a cbo registra três tipos de profissionais. No código 2625, estão classificados os profissionais de nível superior, denominados 'artistas visuais e desenhistas industriais' (também conhecidos como desenhistas";"Desenhistas técnicos, em geral"
1109;"3181";"Esses trabalhadores atuam em atividades econômicas como construção civil, captação, purificação e distribuição de água, administração pública, serviços de utilidade pública, tais como produçu";"Elaboram desenhos de arquitetura e engenharia civil utilizando softwares específicos para desenho técnico, assim como podem executar plantas, desenhos e detalhamentos de instalações hidrossanitárias e elétricas e desenhos cartográficos; coletam e processam dados e planejam o trabalho para a elaboração do projeto como, por exemplo, interpretar projetos existentes, calcular e definir custos do desenho, analisar croqui e aplicar normas de saúde ocupacional e normas técnicas ligadas construção civil, podendo atualizar o desenho de acordo com a legislação.";"Esse emprego/ocupação requer para o seu exercício o ensino fundamental completo, curso básico de qualificação de duzentas a quatrocentas horas-aula e experiência profissional de um a dois anos. É necessário o domíni";"";"No domínio do desenho, a cbo registra três tipos de profissionais. No código 2625 estão classificados os profissionais de nível superior denominados 'artistas visuais e desenhistas industriais' (também conhecidos como desenhistas d";"Desenhistas técnicos da construção civil e arquitetura"
1116;"3182";"Esses trabalhadores atuam em empresas ligadas à fabricação de artigos de borracha e plástico e de produtos de metal (máquinas e equipamentos);, metalurgia básica, fabricação e montagem de veículos automotores, reboques ";"Executam desenhos, projeções e corte utilizando meios manuais e eletrônicos e preparam diagramas detalhados de máquinas e peças e de projetos navais e aeronáuticos, definindo os meios de execução do desenho e coletando dados do projeto, tais como incluir dimensões, métodos de ajuste e outras informações de engenharia, sob a supervisão de um desenhista projetista ou de um engenheiro; acompanham o processo de execução e montagem.";"Dos titulares da ocupação exige-se, para ingresso nas empresas, escolaridade mínima equivalente ao ensino médio incompleto, de um a dois anos de experiência anterior na função e curso básico de qualificação de mais ";"";"";"Desenhistas técnicos da mecânica"
1123;"3183";"Trabalham em várias atividades econômicas, concentrando-se em áreas de projeto de fabricação e de manutenção de máquinas e equipamentos, aparelhos e materiais elétricos e eletrônicos  e de aparelhos e equipamentos d";"Analisam solicitações para desenhos em eletroeletrônica; elaboram o desenho preliminar e desenho executivo de projetos de fabricação e instalação de máquinas e equipamentos de refrigeração, de instalação de sistemas de ventilação e calefação; desenham esquemas eletrônicos, leiautes de circuitos impressos, leiautes de quadros e componentes elétricos e projetos elétricos; submetem desenhos aprovação; efetuam revisões e finalizam desenhos, preparando cópias, arquivando e registrando apontamentos. Prestam assistência fabricação, montagem e instalação, referente ao desenho técnico. Verificam iluminação, ventilação, temperatura, ruídos e conformidade ergonômica do local de trabalho de desenho.";"Para ingressar nessas ocupações requer-se curso técnico de nível médio, ou equivalente, nas áreas de eletricidade, eletrônica, eletromecânica, calefação, ventilação e refrigeração e domínio em ap";"";"";"Desenhistas técnicos em eletricidade, eletrônica, eletromecânica, calefação, ventilação e refrigeração"
1130;"3184";"Esses profissionais atuam em vários ramos de atividade, tais como: artes gráficas, indústria têxtil, fabricação de produtos de madeira, empresas de correio e telecomunicações e outras. São empregados formais, com cartei";"Interpretam solicitações de desenhos; elaboram desenhos de produtos ou serviços; submetem desenhos aprovação. dão acabamento final em desenhos; indicam características de materiais e acabamentos em desenhos; organizam e solicitam adequação ergonômica do posto de trabalho.";"Para ingressar nessas ocupações, é necessário que o profissional tenha concluído o ensino médio, além de um curso profissionalizante básico de desenho de até duzentas horas-aula. O exercício das atividades só ";"EPI - equipamento de proteção individual";"No domínio do desenho, a cbo registra três tipos de profissionais. No código 2625 estão classificados os profissionais de nível superior denominados 'artistas visuais e desenhistas industriais' (também conhecidos como desenhistas d";"Desenhistas técnicos de produtos e serviços diversos"
1137;"3185";"Trabalham na construção civil, em departamentos obras de empresas e instituições públicas e privadas, em escritórios de engenharia e arquitetura, em empresas de engenharia consultiva, dentre outras. São assalariados com carteir";"Auxiliam arquitetos e engenheiros no desenvolvimento de projetos de construção civil e arquitetura; aplicam as normas de saúde ocupacional nr-9, nr-15 e nr-17; apoiam a coordenação de equipes; auxiliam a engenharia na coordenação de projetos; pesquisam novas tecnologias de produtos e processos; projetam obras de pequeno porte, coletando dados, elaborando ante projetos, desenvolvendo projetos, dimensionando estruturas e instalações, especificando materiais, detalhando projetos executivos e atualizando projetos conforme obras; detalham projetos de grande porte.";"Para ingressar nessas ocupações requer-se o ensino médio completo, complementado por curso básico de qualificação com mais de quatrocentas horas-aula, ou curso técnico de nível médio em construção civil, arquite";"NR-9: Norma Regulamentadora do Ministério do Trabalho e Emprego que trata do Programa de Prevenção de Riscos Ambientais  NR-15: Norma Regulamentadora do Ministério do Trabalho e Emprego que trata das atividades e operações insalubr";"";"Desenhistas projetistas de construção civil e arquitetura"
1144;"3186";"Atuam em empresas ligadas à fabricação de artigos de borracha e plástico, de máquinas e equipamentos (instrumentação médico-hospitalar, de precisão e ópticos e para automação industrial, cronômetros e re";"Planejam e desenvolvem projetos de ferramentas, produtos da mecânica, moldes e matrizes, verificando viabilidade e coletando dados do projeto, aplicando os equipamentos e instrumentos disponíveis, especificando material usado, desenvolvendo protótipos, estimando custo/benefício; acompanham provas práticas e coordenam a execução do projeto; elaboram embalagem para o produto e manual de operação para o usuário; desenvolvem fornecedores de produtos e serviços; participam do sistema de gestão de qualidade. Planejam e desenvolvem projetos de ferramentas, produtos da mecânica, moldes e matrizes, verificando viabilidade e coletando dados do projeto, aplicando os equipamentos e instrumentos disponíveis, especificando material usado, desenvolvendo protótipos, estimando custo/benefício; acompanham provas práticas e coordenam a execução do projeto; elaboram embalagem para o produto e manual de operação para o usuário; desenvolvem fornecedores de produtos e serviços; participam do sistema de gestão";"O exercício das atividades requer formação técnica profissionalizante de nível médio na área de mecânica e afins, com domínio de uso de aplicativos tipo cad. A experiência desejável para o desempenho pleno das a";"Try-out: ensaio, teste de funcionamento";"No domínio do desenho, a cbo registra três tipos de profissionais. No código 2625, estão classificados os profissionais de nível superior denominados 'artistas visuais e desenhistas industriais' (também conhecidos como desenhistas ";"Desenhistas projetistas da mecânica"
1151;"3187";"Trabalham principalmente em departamento de projetos em empresas de fabricação de máquinas e equipamentos, de máquinas e aparelhos e materiais elétricos, de material eletrônico e de aparelhos e equipamentos de comunicações,";"Participam da elaboração de anteprojetos elétricos e eletrônicos; desenvolvem projetos de produtos e de instalações; participam de implantações de projetos; acompanham ensaios do  produto final; controlam documentações de projetos. Desenvolvem fornecedores; utilizam recursos de informática; garantem a qualidade de produtos e serviços; trabalham segundo normas e procedimentos técnicos, de qualidade e de segurança no trabalho.";"Para o exercício dessas ocupações requer-se curso técnico de nível médio na área de eletroeletrônica. O desempenho pleno das funções ocorre após o período de três a quatro anos de experiência profiss";"";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio resolução normativa nº 24, de 18 de fevereiro de 1970 - autoriza os conselho";"Desenhistas projetistas da eletrônica"
1158;"3188";"Trabalham em confecções de artigos do vestuário e acessórios, na fabricação de artefatos de couro, artigos de viagem e calçados e fabricação de mobiliário. São empregados com carteira assinada, trabalham de form";"Confeccionam moldes para roupas e calçados; pesquisam segmentos de mercado, estudando estilos de design e avaliando pesquisas sobre tendências de mercado; avaliam materiais para aquisição e desenvolvem protótipos de roupas, calçados e móveis; projetam móveis, interpretando desenhos e modelos, analisando o local de instalação de móveis sob medida, elaborando desenhos de móveis e gabaritos em cad e prancheta, dimensionando componentes, especificando madeiras, derivados de madeira e acessórios para móveis e materiais para acabamento, tais como tintas e vernizes, entre outros.";"O exercício dessas ocupações requer curso técnico de nível médio na área do vestuário (modelista de calçados e roupas); ou do mobiliário (projetista de móveis);, ou ainda experiência equivalente. O exercå";"CAD: sigla em inglês para computer aided design ou em português, projeto assistido por computador.";"";"Desenhistas projetistas e modelistas de produtos e serviços diversos"
1165;"3191";"Atuam em atividades ligadas a confecções de artigos do vestuário e acessórios e na fabricação de artefatos de couro. São empregados com carteira assinada, trabalhando sob supervisão ocasional. A organização de traba";"Desenvolvem produtos de vestuário a partir de pesquisas de mercado, as quais definirão o público-alvo, as tendências da moda e as necessidades do mercado de vestuário. Desenvolvem fornecedores; planejam, executam e controlam programas de fabricação de indústrias do vestuário (roupas, calçados e artefatos);;  elaboram métodos e processos de produção. Podem assumir responsabilidade de uma ou várias funções (ex.: Estudos, pesquisas, desenvolvimento, controle de qualidade e compras);, dependendo do tamanho e tipo de organização da empresa; treinam e coordenam equipes.";"O acesso às ocupações ocorre por meio de curso técnico em nível médio nas áreas do vestuário e afins ou experiência equivalente. O exercício pleno das atividades ocorre após três ou quatro anos de experiå";"";"";"Técnicos do vestuário"
1172;"3192";"Trabalham na fabricação móveis e esquadrias de madeira, na construção civil, em institutos e departamentos de pesquisa e desenvolvimento. São empregados com carteira assinada e se organizam em equipe, sob supervisão ocasional. ";"Definem projetos e constroem móveis e esquadrias; selecionam materiais, insumos e acessórios; preparam, regulam e acompanham manutenção de máquinas, equipamentos e ferramentas; monitoram o processo de produção; dominam técnicas e tecnologia de máquinas e equipamentos de produção, inclusive cad/cam, cnc e cim; efetuam atividades de medição e controle, utilizando conhecimentos sobre materiais diversos, utilizados nas diferentes etapas do processo produtivo (corte, usinagem, montagem, tratamento de superfícies e acabamento);; implementam melhorias no processo e prestam assistência técnica.";"O ingresso nessa ocupação requer ensino técnico de nível médio em mobiliário, ou curso médio completo seguido de cursos de qualificação. O pleno desempenho das atividades ocorre após um ou dois anos de experiênc";"";"";"Técnicos do mobiliário e afins"
1179;"3201";"O trabalho é exercido em ambientes fechados, em horário diurno, ou por revezamento de turno. Os profissionais atuam, majoritariamente, na condição de assalariados, com carteira assinada. Trabalham sob supervisão ocasional, organizados ";"Manejam e cuidam da saúde de animais de biotério, tais como: ratos, camundongos e hamsters;  auxiliam em experimentação animal, manipulando produtos químicos, coletando tecidos, transplantando pele, confeccionando láminas, congelando e transferindo embriões; preparam o ambiente e os materiais aplicados ao bioterismo; monitoram as condições ambientais e físicas do biotério; descartam material biológico; operam máquinas e equipamentos. As atividades são desempenhadas segundo boas práticas, normas e procedimentos técnicos e de biossegurança.";"O exercício dessas ocupações requer curso técnico em biologia (nível médio); ou áreas afins.";"";"";"Técnicos em biologia"
1186;"3211";"Trabalham em empresas públicas e privadas, em atividades de extensão rural e de pesquisas agropecuárias e em órgãos fiscalizadores ou públicos. Trabalham como assalariados, com carteira assinada, ou como autônomos, prestando co";"Prestam assistência e consultoria técnicas, orientando diretamente produtores sobre produção agropecuária, comercialização e procedimentos de biosseguridade. Executam projetos agropecuários em suas diversas etapas. Planejam atividades agropecuárias, verificando viabilidade econômica, condições edafoclimáticas e infra-estrutura. Promovem organização, extensão e capacitação rural. Fiscalizam produção agropecuária. Desenvolvem tecnologias adaptadas à produção agropecuária. Podem disseminar produção orgânica.";"O acesso a essas ocupações requer curso técnico agrícola ou em agropecuária (nível médio);. O desempenho pleno como técnico titular ocorre com menos de um ano de experiência na área. A atualização dos té";"Aquicultura: exploração aquática de atividades agropecuárias. Técnicas de manejo para a criação de animais aquáticos ex: peixe, camarão Biosseguridade: precauções para se evitar contaminação dos home";"Norma regulamentadora: decreto nº 90.922, de 2 de fevereiro de 1985 - regulamenta a lei nº 5.524/68 e dispõe sobre a profissão de técnico agrícola de nível médio.";"Técnicos agrícolas"
1193;"3212";"Atuam em instituições públicas e privadas ligadas a atividades florestais, empresas de fabricação de produtos de madeira, indústrias de papel e celulose, instituições de pesquisas e desenvolvimento, reservas ecológicas ";"Supervisionam, execução de atividades florestais, desde a construção de viveiros florestais e infra-estrutura, produção de mudas e colheita florestal até o manejo de florestas nativas e comerciais; inventariam florestas, planejam atividades florestais; elaboram documentos técnicos. Administram unidades de conservação e de produção, atuam na preservação e conservação ambiental; fiscalizam e monitoram fauna e flora; ministram treinamentos e podem participar de pesquisas.";"O acesso a essas ocupações requer curso técnico florestal ou curso pós-técnico florestal, de nível médio. Trabalham em equipe multidisciplinar, sob supervisão ocasional de engenheiros florestais e afins. O pleno exercíc";"";"";"Técnicos florestais"
1200;"3213";"Trabalham em criatórios de peixes, crustáceos e moluscos de empresas privadas, em órgãos de pesquisa e de extensão rural, em empresas de pesca e atividades relacionadas. São assalariados ou trabalham por conta própria sob super";"Organizam a reprodução de animais aquáticos, como peixes, camarões, mexilhões,  ostras e  rás, dentre outros;  coletam material de reprodução; controlam sanidade e predação dos animais; monitoram qualidade da água, alimentam, capturam e beneficiam animais aquáticos de viveiros, tanques e fazendas marinhas. Prestam assistência técnica e auxiliam na elaboração de projetos, orientando construção de instalações em fazendas aquícolas e sistema de criação de animais aquáticos. Podem ministrar cursos.";"O exercício dessas ocupações requer curso técnico de nível médio em uma das seguintes habilitações: técnico agrícola ou agropecuário, com especialização em aquicultura ou, mais recentemente, técn";"";"";"Técnicos em aquicultura"
1238;"3225";"Atuam na área da saúde e serviços sociais. São empregadores, trabalham de forma individual e em equipe junto à equipe médica, sem supervisão. Executam suas funções em ambiente fechado e em horário diurno. Permanecem";"Interpretam as especificações médicas e efetuam as medidas do paciente para desenvolver, projetar, confeccionar, adaptar e reparar órteses e próteses (o/p);, tais como aparelhos para correção ou apoio para pessoas com lesões em qualquer parte do corpo e membros artificiais. Avaliam o paciente e a prescrição; planejam, confeccionam e acompanham o funcionamento de órteses e próteses prestando assistência técnica; gerenciam o ateliê. O desenvolvimento do trabalho requer o uso de capacidades de comunicação do profissional junto aos profissionais da área e os pacientes.   ";"O exercício pleno das atividades dessa ocupação requer o ensino médio completo e mais de cinco anos de experiência profissional. A(s); ocupação(ões); elencada(s); nesta família ocupacional, demandam formação pro";"";"";"Técnicos em próteses ortopédicas"
1245;"3226";"Trabalham em hospitais, postos de saúde, clínicas e empresas ligadas à saúde e ou serviço social. Trabalham individualmente ou junto a equipes médicas, com supervisão permanente de médicos. São assalariados, com carteir";"Confeccionam e retiram aparelhos gessados, talas gessadas (goteiras, calhas); e enfaixamentos com uso de material convencional e sintético (resina de fibra de vidro);. Executam imobilizações com uso de esparadrapo e talas digitais (imobilizações para os dedos);. Preparam e executam trações cutâneas, auxiliam o médico ortopedista na instalação de trações esqueléticas e nas manobras de redução manual. Podem preparar sala para pequenos procedimentos fora do centro cirúrgico, como pequenas suturas e anestesia local para manobras de redução manual, punções e infiltrações. Comunicam-se oralmente e por escrito, com os usuários e  profissionais de saúde.";"O exercício da ocupação requer ensino de nível médio, mais curso de profissionalização de duzentas a quatrocentas horas-aula. Em geral, esses profissionais apresentam longo aprendizado no próprio emprego. A exigência de";"";"";"Técnicos de imobilizações ortopédicas"
1252;"3231";"Trabalham na pecuária, pesca, aquicultura, laboratórios de pesquisa e desenvolvimento e em indústrias de fabricação de produtos alimentícios. São profissionais assalariados, com carteira assinada; organizam-se em equipe de ";"Atuam nas mais diversas áreas de criação e manejo animal, promovendo medidas de profilaxia, sanidade, alimentação e reprodução. Administram empresas rurais e promovem a comercialização de produtos e animais. Estudam e aplicam princípios biológicos e zootécnicos para experimentar, testar, desenvolver e melhorar métodos de produção de vida animal, inclusive os insetos úteis.";"O exercício dessa ocupação requer curso técnico em pecuária ou zootecnia (nível médio);. O desempenho pleno das atividades, ocorre após um ano de experiência. A(s); ocupação(ões); elencada(s); nesta famí";"Fenação: processo de conservação das forragens Ensilagem: armazenar cereais em silos ";"Decreto nº 90.922, de 2 de fevereiro de 1985 - regulamenta a lei nº 5.524/68 e dispõe sobre a profissão de técnico agrícola de nível médio.";"Técnicos em pecuária"
1273;"3250";"Trabalham na fabricação de produtos alimentares e bebidas (enólogo); e na fabricação de produtos químicos (aromista e perfumista);. São empregados com carteira assinada e trabalham sem supervisão. O enólogo trabalha de ";"Controlam processos de elaboração de vinhos e de derivados da uva e do vinho e coordenam atividades de viticultura. Desenvolvem aromas e fragrâncias. Controlam qualidade de insumos e de matérias-primas. Coordenam ações para o cumprimento de normas legais. Desenvolvem atividades de divulgação e de pesquisa. Prestam suporte técnico a clientes internos e externos.";"Para o exercício dessas ocupações requer-se escolaridade de nível médio (aromistas e perfumistas);. No caso do enólogo,  a formação pode se ampliar até o nível pós-secundário de tecnologia. O desempenho plen";"Graspa: graspa, bagaceira ou grapa é a bebida com graduação alcoólica de 38 a 54 graus gl, obtida de destilado alcoólico simples de bagaço de uva fermentado e/ou destilado alcoólico simples de borra Mosto: líquido resultant";"Norma regulamentadora: lei nº 5.524, de 5 de novembro de 1968 - dispõe sobre o exercício da profissão de técnico industrial de nível médio resolução normativa nº 24, de 18 de fevereiro de 1970 - autoriza os conselho";"Enólogos, perfumistas e aromistas"
